2026-07-06 10:52:39.504273: [*] Connected by ('127.0.0.1', 49286)
2026-07-06 10:52:42.110077: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:52:49.263936: [*] Received data from ('127.0.0.1', 49286): user
2026-07-06 10:52:53.928948: [*] Received password from ('127.0.0.1', 49286): 123]

2026-07-06 10:52:55.325446: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:52:56.615540: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:52:58.371297: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:52:59.420528: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:53:00.517439: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:53:01.434197: [*] Received data from ('127.0.0.1', 49286): 123
2026-07-06 10:53:02.173540: [*] Received data from ('127.0.0.1', 49286): d
2026-07-06 10:53:02.487350: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:02.682431: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:02.853920: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.009142: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.163245: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.312390: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.474015: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.623163: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.779992: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:03.933960: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.088404: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.241026: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.404469: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.551382: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.723401: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:04.875121: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:05.039141: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:05.179997: [*] Received data from ('127.0.0.1', 49286): 
2026-07-06 10:53:06.152241: [*] Received data from ('127.0.0.1', 49286): exit
2026-07-06 10:53:08.211264: [*] ('127.0.0.1', 49286) has closed the connection voluntarily.
2026-07-06 10:53:08.211330: [*] Connection with ('127.0.0.1', 49286) closed.
